fecha,hosp_fract_cadera,hosp_insuf_card,hosp_infarto_miorardio,hosp_ictus,hosp_epoc,camas_iniciales_planta,camas_habilitadas_planta,camas_ocupadas_planta,camas_iniciales_uci,camas_habilitadas_uci,camas_ocupadas_uci,camas_ocupadas_covid_uci,codigo_ine,tmax,tmin,precip_mm,humedad_%,viento_kph,hospital_Complejo Asistencial Universitario de Burgos,hospital_Complejo Asistencial Universitario de León,hospital_Complejo Asistencial Universitario de Palencia,hospital_Complejo Asistencial Universitario de Salamanca,hospital_Complejo Asistencial de Segovia,hospital_Complejo Asistencial de Soria,hospital_Complejo Asistencial de Zamora,hospital_Complejo Asistencial de Ávila,hospital_Hospital Clínico Universitario de Valladolid,hospital_Hospital El Bierzo,hospital_Hospital Santiago Apóstol,hospital_Hospital Santos Reyes,hospital_Hospital Universitario Río Hortega,provincia_Burgos,provincia_León,provincia_Palencia,provincia_Salamanca,provincia_Segovia,provincia_Soria,provincia_Valladolid,provincia_Zamora,provincia_Ávila
2022-01-01,4.0,10.0,5.0,7.0,7.0,365.0,325.0,167.0,16.0,31.0,12.0,5.0,40004,17,8,0.0,41,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-01,3.0,4.0,0.0,3.0,1.0,319.0,274.0,131.0,14.0,14.0,9.0,5.0,42173,15,2,0.0,52,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-01-01,4.0,17.0,5.0,5.0,10.0,395.0,358.0,265.0,17.0,19.0,8.0,4.0,49275,16,4,0.0,59,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-01-01,1.0,26.0,1.0,8.0,13.0,422.0,368.0,196.0,14.0,18.0,9.0,4.0,5019,20,5,0.0,49,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01,8.0,45.0,2.0,12.0,15.0,842.0,755.0,457.0,42.0,47.0,38.0,13.0,9059,15,4,0.0,54,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,18.0,29.0,10.0,15.0,20.0,850.0,876.0,482.0,44.0,62.0,40.0,24.0,24089,20,5,0.0,49,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,6.0,13.0,5.0,5.0,7.0,451.0,408.0,229.0,20.0,20.0,19.0,11.0,34120,15,2,0.0,52,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,5.0,32.0,14.0,16.0,12.0,721.0,723.0,483.0,60.0,53.0,48.0,11.0,37274,18,5,0.0,54,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,8.0,16.0,3.0,3.0,6.0,391.0,391.0,205.0,14.0,14.0,11.0,9.0,24089,20,5,0.0,49,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2.0,4.0,0.0,1.0,1.0,114.0,109.0,33.0,0.0,0.0,0.0,0.0,9059,15,4,0.0,54,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,1.0,2.0,0.0,1.0,0.0,114.0,114.0,53.0,0.0,0.0,0.0,0.0,9059,15,4,0.0,54,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,7.0,24.0,16.0,24.0,12.0,674.0,647.0,378.0,57.0,66.0,45.0,12.0,47186,15,4,0.0,54,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-01,3.0,16.0,11.0,11.0,11.0,573.0,518.0,312.0,33.0,37.0,35.0,18.0,47186,15,4,0.0,54,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-02,3.0,10.0,5.0,7.0,8.0,365.0,325.0,180.0,16.0,31.0,11.0,4.0,40004,16,7,0.0,45,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-02,4.0,4.0,0.0,4.0,1.0,319.0,275.0,134.0,14.0,14.0,10.0,6.0,42173,13,4,0.0,59,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-01-02,5.0,16.0,3.0,6.0,9.0,395.0,358.0,247.0,17.0,19.0,8.0,4.0,49275,15,8,0.0,68,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-01-02,1.0,26.0,2.0,8.0,13.0,422.0,368.0,213.0,14.0,18.0,7.0,3.0,5019,18,5,0.0,45,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-02,9.0,46.0,5.0,11.0,14.0,842.0,758.0,478.0,42.0,47.0,39.0,14.0,9059,13,6,0.0,63,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,19.0,32.0,10.0,16.0,24.0,850.0,876.0,508.0,44.0,62.0,44.0,26.0,24089,18,5,0.0,45,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,6.0,13.0,5.0,6.0,7.0,451.0,401.0,249.0,20.0,23.0,19.0,11.0,34120,13,7,0.0,66,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,5.0,35.0,13.0,17.0,13.0,721.0,727.0,517.0,60.0,53.0,48.0,12.0,37274,17,8,0.0,58,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,8.0,17.0,3.0,4.0,7.0,391.0,391.0,205.0,14.0,14.0,9.0,7.0,24089,18,5,0.0,45,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,2.0,4.0,0.0,2.0,1.0,114.0,106.0,45.0,0.0,0.0,0.0,0.0,9059,13,6,0.0,63,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,1.0,3.0,0.0,1.0,0.0,114.0,114.0,48.0,0.0,0.0,0.0,0.0,9059,13,6,0.0,63,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,9.0,27.0,16.0,24.0,12.0,674.0,639.0,395.0,57.0,66.0,50.0,13.0,47186,15,6,0.0,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-02,3.0,17.0,12.0,12.0,13.0,573.0,518.0,347.0,33.0,37.0,33.0,17.0,47186,15,6,0.0,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-03,3.0,11.0,5.0,8.0,11.0,365.0,325.0,187.0,16.0,31.0,13.0,5.0,40004,15,5,0.0,71,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
