Fecha,Hospital_ID,Provincia,Ocupacion_Camas,Camas_UCI_Disp,Personal_Disp,Procedimientos_Cirugia,Hospitalizaciones_Respiratorias,Hospitalizaciones_Cardio,Mortalidad_General,Temperatura_Media_C,Precipitacion_mm,Fecha_M_A,ds,y
2021-01-01,C,León,96.08450567293173,27,147,46,41,30,0.01660276607136424,16.32867509454966,3.0117558699735882,2021-01,2021-01-01,96.08450567293173
2021-01-02,A,Segovia,90.58595432665668,30,60,34,24,34,0.0696831624077688,25.153084137413646,2.48976899161365,2021-01,2021-01-02,90.58595432665668
2021-01-03,C,Burgos,77.87894689617075,22,149,36,7,3,0.06358297331411854,15.961420665542633,3.7230709857304776,2021-01,2021-01-03,77.87894689617075
2021-01-04,C,León,77.07417463090478,30,100,23,41,30,0.04736310885934712,23.942139743248454,2.546637658899619,2021-01,2021-01-04,77.07417463090478
2021-01-05,A,Salamanca,70.14229991490473,17,66,45,44,9,0.04799730104926103,26.093717658326142,4.889509264384521,2021-01,2021-01-05,70.14229991490473
2021-01-06,A,Zamora,89.48000019979301,49,148,48,12,4,0.08065575289417881,18.164548359299257,4.074078813546854,2021-01,2021-01-06,89.48000019979301
2021-01-07,C,Burgos,71.36594028684884,16,131,25,44,26,0.027614137608968414,27.62433011314161,9.865694907793266,2021-01,2021-01-07,71.36594028684884
2021-01-08,B,Valladolid,84.91287054322135,32,135,31,48,6,0.08382279870504009,15.455307082995065,0.5592635012822567,2021-01,2021-01-08,84.91287054322135
2021-01-09,C,Burgos,96.9394152325774,41,73,30,27,21,0.06838724025055164,27.657192954874592,1.4218137638735162,2021-01,2021-01-09,96.9394152325774
2021-01-10,C,Salamanca,73.0651280815247,20,68,30,44,28,0.0477072796401572,21.904935759641475,0.5282589390860248,2021-01,2021-01-10,73.0651280815247
2021-01-11,C,Soria,95.04543806710589,31,86,17,15,13,0.05122257549254818,18.26381909897467,6.258411949823758,2021-01,2021-01-11,95.04543806710589
2021-01-12,C,Valladolid,97.76130938406135,31,134,25,12,13,0.033098248646748624,17.00667217490952,0.5450927741371958,2021-01,2021-01-12,97.76130938406135
2021-01-13,A,Ávila,71.72247673469857,34,57,40,33,5,0.07769028994272774,29.299607513735587,8.364397373761234,2021-01,2021-01-13,71.72247673469857
2021-01-14,C,Segovia,94.72137553584892,31,77,19,34,14,0.05615872680747411,16.08998381371735,5.119386306819278,2021-01,2021-01-14,94.72137553584892
2021-01-15,B,Ávila,84.45021257242126,37,54,41,14,5,0.03887690884748593,17.986401299038885,5.270076245815337,2021-01,2021-01-15,84.45021257242126
2021-01-16,A,Burgos,95.38238414444824,38,66,43,43,29,0.06364451041848553,20.21733521149569,5.615945077121943,2021-01,2021-01-16,95.38238414444824
2021-01-17,B,Ávila,85.99693037374807,22,85,18,32,4,0.09961610068461908,24.30352273441681,1.7081370630621073,2021-01,2021-01-17,85.99693037374807
