Fecha hospitalizado,Hospital,Occupancy
2021-10-28,C.A.U. Burgos,1
2021-10-29,C.A.U. Burgos,1
2021-10-30,C.A.U. Burgos,1
2021-10-31,C.A.U. Burgos,1
2021-11-01,C.A.U. Burgos,1
2021-11-02,C.A.U. Burgos,1
2021-11-03,C.A.U. Burgos,1
2021-11-04,C.A.U. Burgos,1
2021-11-05,C.A.U. Burgos,1
2021-11-06,C.A.U. Burgos,1
2021-11-07,C.A.U. Burgos,1
2021-11-08,C.A.U. Burgos,1
2021-11-09,C.A.U. Burgos,1
2021-11-10,C.A.U. Burgos,1
2021-11-11,C.A.U. Burgos,1
2021-11-12,C.A.U. Burgos,1
2021-11-13,C.A.U. Burgos,1
2021-11-14,C.A.U. Burgos,1
2021-11-15,C.A.U. Burgos,1
2021-11-16,C.A.U. Burgos,1
2021-11-17,C.A.U. Burgos,1
2021-11-18,C.A.U. Burgos,1
2021-11-19,C.A.U. Burgos,1
2021-11-20,C.A.U. Burgos,1
2021-11-21,C.A.U. Burgos,1
2021-11-22,C.A.U. Burgos,1
2021-11-23,C.A.U. Burgos,1
2021-11-24,C.A.U. Burgos,1
2021-11-25,C.A.U. Burgos,1
2021-11-26,C.A.U. Burgos,1
2021-11-26,C.A.U. Palencia,1
2021-11-27,C.A.U. Burgos,1
2021-11-27,C.A.U. Palencia,1
2021-11-27,H.U. Río Hortega,1
2021-11-28,C.A.U. Burgos,1
2021-11-28,C.A.U. Palencia,1
2021-11-28,H.U. Río Hortega,1
2021-11-29,C.A.U. Burgos,1
2021-11-29,C.A.U. Palencia,1
2021-11-29,H.U. Río Hortega,1
2021-11-30,C.A.U. Burgos,1
2021-11-30,C.A.U. Palencia,1
2021-11-30,H.U. Río Hortega,1
2021-12-01,C.A.U. Burgos,1
2021-12-01,C.A.U. Palencia,1
2021-12-01,H.U. Río Hortega,1
2021-12-02,C.A.U. Burgos,1
2021-12-02,C.A.U. Palencia,1
2021-12-02,H.U. Río Hortega,1
2021-12-03,C.A.U. Burgos,1
2021-12-03,C.A.U. Palencia,1
2021-12-03,H.U. Río Hortega,1
2021-12-04,C.A.U. Burgos,1
2021-12-04,C.A.U. Palencia,1
2021-12-04,H.U. Río Hortega,1
2021-12-05,C.A.U. Burgos,1
2021-12-05,C.A.U. Palencia,1
2021-12-05,H.U. Río Hortega,1
2021-12-06,C.A.U. Burgos,1
2021-12-06,C.A.U. León,1
2021-12-06,C.A.U. Palencia,1
2021-12-06,H.U. Río Hortega,1
2021-12-07,C.A.U. Burgos,1
2021-12-07,C.A.U. León,1
2021-12-07,C.A.U. Palencia,1
2021-12-07,H.U. Río Hortega,1
2021-12-08,C.A.U. Burgos,1
2021-12-08,C.A.U. León,1
2021-12-08,C.A.U. Palencia,1
2021-12-08,H.U. Río Hortega,1
2021-12-09,C.A.U. Burgos,1
2021-12-09,C.A.U. León,1
2021-12-09,C.A.U. Palencia,1
2021-12-09,H.U. Río Hortega,1
2021-12-10,C.A.U. Burgos,1
2021-12-10,C.A.U. León,1
2021-12-10,C.A.U. Palencia,1
2021-12-10,H.U. Río Hortega,1
2021-12-11,C.A.U. Burgos,1
2021-12-11,C.A.U. León,1
2021-12-11,C.A.U. Palencia,1
2021-12-11,H.U. Río Hortega,1
2021-12-12,C.A.U. Burgos,1
2021-12-12,C.A.U. León,1
2021-12-12,C.A.U. Palencia,1
2021-12-12,H.U. Río Hortega,1
2021-12-13,C.A.U. Burgos,1
2021-12-13,C.A.U. León,1
2021-12-13,C.A.U. Palencia,1
2021-12-13,H.U. Río Hortega,1
2021-12-14,C.A.U. Burgos,1
2021-12-14,C.A.U. León,1
2021-12-14,C.A.U. Palencia,1
2021-12-14,H.U. Río Hortega,1
2021-12-15,C.A.U. Burgos,1
2021-12-15,C.A.U. León,1
2021-12-15,C.A.U. Palencia,1
2021-12-15,H.U. Río Hortega,1
2021-12-16,C.A.U. Burgos,1
2021-12-16,C.A.U. León,1
2021-12-16,C.A.U. Palencia,1
2021-12-16,H.U. Río Hortega,1
2021-12-17,C.A.U. Burgos,1
2021-12-17,C.A.U. León,2
2021-12-17,C.A.U. Palencia,1
