provincia,fecha,tmax,tmin,precip_mm,humedad_%,viento_kph
Burgos,2022-01-01,15,4,0.0,54,11
Burgos,2022-01-02,13,6,0.0,63,13
Burgos,2022-01-03,13,6,0.0,83,14
Burgos,2022-01-04,12,3,10.1,81,19
Burgos,2022-01-05,3,-1,5.9,90,11
Burgos,2022-01-06,5,-3,0.0,80,9
Burgos,2022-01-07,6,0,0.0,87,10
Burgos,2022-01-08,6,-2,0.0,86,11
Burgos,2022-01-09,8,2,0.3,93,18
Burgos,2022-01-10,9,5,0.4,94,11
Burgos,2022-01-11,8,5,0.3,89,17
Burgos,2022-01-12,7,-2,0.0,74,20
Burgos,2022-01-13,8,-4,0.0,63,8
Burgos,2022-01-14,10,-3,0.0,51,5
Burgos,2022-01-15,8,-4,0.0,51,7
Burgos,2022-01-16,8,-4,0.0,67,8
Burgos,2022-01-17,6,-2,0.0,52,10
Burgos,2022-01-18,10,-3,0.0,54,5
Burgos,2022-01-19,8,-1,0.0,60,8
Burgos,2022-01-20,7,-1,0.1,83,15
Burgos,2022-01-21,3,-3,0.1,77,27
Burgos,2022-01-22,7,-4,0.0,76,15
Burgos,2022-01-23,10,-3,0.0,72,9
Burgos,2022-01-24,10,-2,0.0,75,5
Burgos,2022-01-25,11,-2,0.0,68,6
Burgos,2022-01-26,11,-1,0.0,67,6
Burgos,2022-01-27,12,-1,0.0,59,11
Burgos,2022-01-28,7,-2,0.0,64,18
Burgos,2022-01-29,12,-1,0.0,67,10
Burgos,2022-01-30,13,1,0.0,51,8
Burgos,2022-01-31,7,-1,0.0,79,18
Burgos,2022-02-01,5,1,0.1,90,19
Burgos,2022-02-02,17,-1,0.0,63,9
Burgos,2022-02-03,13,0,0.0,55,9
Burgos,2022-02-04,10,-0,0.0,79,7
Burgos,2022-02-05,7,-0,0.0,83,16
Burgos,2022-02-06,8,-2,0.0,60,10
Burgos,2022-02-07,9,-0,0.0,79,16
Burgos,2022-02-08,16,1,0.0,70,9
Burgos,2022-02-09,16,1,0.0,59,8
Burgos,2022-02-10,13,0,0.0,65,6
Burgos,2022-02-11,9,2,0.4,86,12
Burgos,2022-02-12,11,0,0.6,71,7
Burgos,2022-02-13,9,4,1.9,85,21
Burgos,2022-02-14,7,1,4.0,74,21
Burgos,2022-02-15,7,-1,0.0,73,10
Burgos,2022-02-16,11,1,0.2,80,14
Burgos,2022-02-17,14,5,0.1,78,7
Burgos,2022-02-18,14,3,0.0,73,15
Burgos,2022-02-19,7,-0,0.4,79,18
Burgos,2022-02-20,11,-1,0.0,72,6
Burgos,2022-02-21,13,0,0.0,78,9
Burgos,2022-02-22,15,-1,0.0,49,8
Burgos,2022-02-23,14,-0,0.0,61,9
Burgos,2022-02-24,11,1,0.0,61,13
Burgos,2022-02-25,5,-1,0.0,80,24
Burgos,2022-02-26,12,-2,0.0,70,15
Burgos,2022-02-27,11,4,0.1,82,7
Burgos,2022-02-28,15,1,0.0,63,8
Burgos,2022-03-01,14,3,0.1,67,9
Burgos,2022-03-02,12,5,11.8,73,12
Burgos,2022-03-03,7,3,18.9,84,17
Burgos,2022-03-04,6,0,1.3,83,22
Burgos,2022-03-05,5,-1,0.1,82,14
Burgos,2022-03-06,5,-2,0.0,84,15
Burgos,2022-03-07,8,-1,1.5,72,11
Burgos,2022-03-08,8,2,2.6,92,14
Burgos,2022-03-09,10,1,1.0,75,13
Burgos,2022-03-10,12,4,6.0,70,15
Burgos,2022-03-11,10,5,4.0,80,21
Burgos,2022-03-12,10,-0,1.1,74,15
Burgos,2022-03-13,9,3,9.8,82,13
Burgos,2022-03-14,7,2,4.4,91,16
Burgos,2022-03-15,17,6,0.0,74,16
Burgos,2022-03-16,12,6,0.4,83,16
Burgos,2022-03-17,6,4,1.5,93,29
Burgos,2022-03-18,7,3,0.3,92,17
Burgos,2022-03-19,13,3,0.4,69,11
Burgos,2022-03-20,12,4,0.2,69,16
Burgos,2022-03-21,10,6,4.7,74,18
Burgos,2022-03-22,10,5,3.0,83,23
Burgos,2022-03-23,11,4,0.0,81,13
Burgos,2022-03-24,11,2,1.2,83,11
Burgos,2022-03-25,12,4,7.7,82,10
Burgos,2022-03-26,14,4,2.0,69,5
Burgos,2022-03-27,16,2,0.0,68,10
Burgos,2022-03-28,16,5,0.0,61,11
Burgos,2022-03-29,11,6,7.9,81,8
Burgos,2022-03-30,11,3,1.1,78,15
Burgos,2022-03-31,10,0,2.2,77,10
Burgos,2022-04-01,5,-2,1.2,76,20
Burgos,2022-04-02,5,-3,1.8,74,16
Burgos,2022-04-03,5,-3,1.0,78,16
Burgos,2022-04-04,6,-4,0.0,75,24
Burgos,2022-04-05,11,-4,0.0,69,17
Burgos,2022-04-06,13,-1,0.0,68,9
Burgos,2022-04-07,16,2,0.0,70,20
Burgos,2022-04-08,12,4,1.8,80,27
Burgos,2022-04-09,12,4,1.8,76,9
Burgos,2022-04-10,20,4,0.0,60,13
Burgos,2022-04-11,20,8,4.9,64,23
Burgos,2022-04-12,13,5,7.3,80,13
Burgos,2022-04-13,14,4,0.5,77,13
Burgos,2022-04-14,17,5,0.1,75,14
Burgos,2022-04-15,17,5,0.0,76,12
Burgos,2022-04-16,20,7,0.0,67,14
Burgos,2022-04-17,20,5,0.0,64,12
Burgos,2022-04-18,14,5,0.0,77,20
Burgos,2022-04-19,8,2,15.9,94,22
Burgos,2022-04-20,9,1,1.3,75,25
Burgos,2022-04-21,12,1,0.0,68,9
Burgos,2022-04-22,8,3,9.5,89,14
Burgos,2022-04-23,6,1,16.5,91,21
Burgos,2022-04-24,12,1,0.0,81,14
Burgos,2022-04-25,17,3,0.0,67,8
Burgos,2022-04-26,18,6,0.0,63,8
Burgos,2022-04-27,13,7,3.2,87,9
Burgos,2022-04-28,12,7,0.5,92,18
Burgos,2022-04-29,20,6,0.0,78,10
Burgos,2022-04-30,18,9,0.0,75,11
Burgos,2022-05-01,19,6,0.0,67,12
Burgos,2022-05-02,11,6,8.1,82,20
Burgos,2022-05-03,12,6,0.5,84,20
Burgos,2022-05-04,14,5,0.0,82,18
Burgos,2022-05-05,16,4,0.0,75,18
Burgos,2022-05-06,17,3,0.0,74,18
Burgos,2022-05-07,18,4,0.0,73,16
Burgos,2022-05-08,19,6,0.0,69,14
Burgos,2022-05-09,23,5,0.0,51,7
Burgos,2022-05-10,26,8,0.0,51,6
Burgos,2022-05-11,26,12,2.6,63,13
Burgos,2022-05-12,24,11,2.4,74,9
Burgos,2022-05-13,25,10,0.0,68,9
Burgos,2022-05-14,24,13,9.1,69,11
Burgos,2022-05-15,22,14,0.8,68,17
Burgos,2022-05-16,23,10,0.0,64,14
Burgos,2022-05-17,24,10,0.0,64,12
Burgos,2022-05-18,28,11,0.0,61,12
Burgos,2022-05-19,29,11,0.1,64,12
Burgos,2022-05-20,29,16,0.4,56,12
Burgos,2022-05-21,32,14,0.0,53,10
Burgos,2022-05-22,25,15,0.1,51,15
Burgos,2022-05-23,20,9,0.4,79,12
Burgos,2022-05-24,13,6,1.1,77,14
Burgos,2022-05-25,14,5,0.4,76,16
Burgos,2022-05-26,19,6,0.0,77,19
Burgos,2022-05-27,22,7,0.0,77,22
Burgos,2022-05-28,25,8,0.0,70,16
Burgos,2022-05-29,26,9,0.0,59,15
Burgos,2022-05-30,24,9,0.6,59,12
Burgos,2022-05-31,25,10,0.0,57,10
Burgos,2022-06-01,27,11,0.3,51,12
Burgos,2022-06-02,26,11,0.1,56,10
Burgos,2022-06-03,25,12,0.0,53,11
Burgos,2022-06-04,25,12,5.6,58,12
Burgos,2022-06-05,24,10,0.0,67,13
Burgos,2022-06-06,25,10,0.0,74,12
Burgos,2022-06-07,26,11,0.0,70,9
Burgos,2022-06-08,24,13,0.7,68,11
Burgos,2022-06-09,25,13,0.0,68,16
Burgos,2022-06-10,29,11,0.0,47,14
Burgos,2022-06-11,29,12,1.3,60,16
Burgos,2022-06-12,30,14,0.8,74,13
Burgos,2022-06-13,31,12,0.0,69,17
Burgos,2022-06-14,36,16,0.0,55,11
Burgos,2022-06-15,36,17,0.0,47,12
Burgos,2022-06-16,36,19,0.0,50,10
Burgos,2022-06-17,37,18,0.2,37,10
Burgos,2022-06-18,37,20,0.2,31,16
Burgos,2022-06-19,25,14,0.0,44,17
Burgos,2022-06-20,24,13,4.3,44,12
Burgos,2022-06-21,27,11,5.1,51,12
Burgos,2022-06-22,21,10,1.6,62,11
