Date,Hospital,Hosp_fract_cadera,Hosp_insuf_card,Hosp_infarto_miorardio,Hosp_ictus,Hosp_epoc
2021-10-02,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-03,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-04,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-05,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-06,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-07,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-08,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-09,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-10,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-11,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-12,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-13,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-14,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-15,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-16,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-17,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-18,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-19,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-20,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-21,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-21,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-22,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-22,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-23,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-23,C.A.U. León,0.0,0.0,1.0,0.0,0.0
2021-10-23,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-24,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-24,C.A.U. León,0.0,0.0,1.0,0.0,0.0
2021-10-24,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-25,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-25,C.A.U. León,0.0,0.0,1.0,0.0,0.0
2021-10-25,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-26,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-26,C.A.U. León,0.0,0.0,1.0,0.0,0.0
2021-10-26,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
2021-10-27,C.A.U. Burgos,0.0,0.0,0.0,1.0,0.0
2021-10-27,C.A.U. León,0.0,0.0,1.0,0.0,0.0
2021-10-27,H.C.U. Valladolid,0.0,0.0,0.0,0.0,1.0
